policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
gcnn:iql_tmdp+DFS_off,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,99,209,2.01,0.0,optimal,2.3030422078445554,2.3023245930000087
gcnn:iql_tmdp+ObjLim_off,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,73,178,1.86,0.0,optimal,2.1133294156752527,2.1126722099999995
gcnn:iql_tmdp+ObjLim_off,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,81,189,1.77,0.0,optimal,1.979635909665376,1.9794624050000067
gcnn:iql_tmdp+ObjLim_off,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,80,197,1.92,0.0,optimal,2.1588973249308765,2.158121675000004
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,78,168,1.84,0.0,optimal,2.1154548451304436,2.1147245230000067
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,97,223,2.07,0.0,optimal,2.291389289777726,2.290701729999995
gcnn:iql_mdp_off,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,69,136,1.79,0.0,optimal,2.1201491402462125,2.119411760999995
gcnn:iql_mdp_off,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,83,184,1.76,0.0,optimal,1.9688822077587247,1.9681554600000055
gcnn:iql_mdp_off,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,94,203,1.89,0.0,optimal,2.155393303837627,2.1546172199999916
gcnn:iql_mdp_off,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,123,232,2.06,0.0,optimal,2.4146234560757875,2.4143455140000043
gcnn:iql_mdp_off,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_1.lp,112,227,2.06,0.0,optimal,2.3629397889599204,2.3621031699999975
internal:relpscost,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,7,78,2.17,0.0,optimal,2.352969157975167,2.352414500000009
internal:relpscost,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,7,76,2.07,0.0,optimal,2.2939104889519513,2.2930702379999985
internal:relpscost,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,7,87,2.22,0.0,optimal,2.4854945591650903,2.4846072450000065
internal:relpscost,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,9,79,2.29,0.0,optimal,2.585090502165258,2.5839194679999906
internal:relpscost,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,9,91,2.37,0.0,optimal,2.672234039288014,2.671110016
gcnn:il,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,39,109,1.7,0.0,optimal,1.9603798161260784,1.9599885570000026
gcnn:il,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,51,167,1.66,0.0,optimal,1.9371820017695427,1.9364350159999901
gcnn:il,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,35,142,1.7,0.0,optimal,1.93949543684721,1.9389385310000193
gcnn:il,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,41,139,1.66,0.0,optimal,1.9534066542983055,1.9530304620000152
gcnn:il,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,47,144,1.78,0.0,optimal,2.0518001709133387,2.051272656000009
gcnn:mdp,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,141,290,2.21,0.0,optimal,2.5768624721094966,2.576610977999991
gcnn:mdp,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,129,217,1.85,0.0,optimal,2.210990676190704,2.2101243509999904
gcnn:mdp,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,155,232,2.12,0.0,optimal,2.493841211311519,2.4927961289999985
gcnn:mdp,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,177,300,2.22,0.0,optimal,2.610560988076031,2.6094177169999853
