policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
gcnn:iql_tmdp+ObjLim_off,2,test,data/instances/cauctions/test_100_500/instance_1.lp,47,103,0.87,0.0,optimal,1.0501091927289963,1.0498661069999997
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/cauctions/test_100_500/instance_1.lp,63,135,0.84,0.0,optimal,1.074492841027677,1.0739886150000046
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/cauctions/test_100_500/instance_1.lp,57,103,0.8,0.0,optimal,0.9587859567254782,0.9586410240000021
gcnn:iql_mdp_off,0,test,data/instances/cauctions/test_100_500/instance_1.lp,49,116,0.75,0.0,optimal,0.9386523151770234,0.9385180949999992
gcnn:iql_mdp_off,1,test,data/instances/cauctions/test_100_500/instance_1.lp,49,116,0.81,0.0,optimal,0.9746620459482074,0.9741700679999994
gcnn:iql_mdp_off,2,test,data/instances/cauctions/test_100_500/instance_1.lp,41,124,0.89,0.0,optimal,1.0779993482865393,1.0777781329999954
gcnn:iql_mdp_off,3,test,data/instances/cauctions/test_100_500/instance_1.lp,53,146,0.85,0.0,optimal,1.0564627121202648,1.0559575859999981
gcnn:iql_mdp_off,4,test,data/instances/cauctions/test_100_500/instance_1.lp,39,95,0.77,0.0,optimal,0.9190801661461592,0.9186821529999989
internal:relpscost,0,test,data/instances/cauctions/test_100_500/instance_2.lp,5,63,1.3,0.0,optimal,1.5279224473051727,1.519476425999997
internal:relpscost,1,test,data/instances/cauctions/test_100_500/instance_2.lp,5,78,1.5,0.0,optimal,1.7664621681906283,1.7659440930000017
internal:relpscost,2,test,data/instances/cauctions/test_100_500/instance_2.lp,3,56,1.27,0.0,optimal,1.470847638323903,1.470038123000009
internal:relpscost,3,test,data/instances/cauctions/test_100_500/instance_2.lp,3,106,1.68,0.0,optimal,1.9980471483431756,1.99676393499999
internal:relpscost,4,test,data/instances/cauctions/test_100_500/instance_2.lp,5,65,1.27,0.0,optimal,1.4986321441829205,1.4980976219999889
gcnn:il,0,test,data/instances/cauctions/test_100_500/instance_2.lp,59,151,1.08,0.0,optimal,1.2913902662694454,1.2911472079999982
gcnn:il,1,test,data/instances/cauctions/test_100_500/instance_2.lp,55,124,1.16,0.0,optimal,1.3273020177148283,1.3269483940000129
gcnn:il,2,test,data/instances/cauctions/test_100_500/instance_2.lp,45,154,1.03,0.0,optimal,1.2834146246314049,1.2831147509999994
gcnn:il,3,test,data/instances/cauctions/test_100_500/instance_2.lp,49,117,0.99,0.0,optimal,1.1988548021763563,1.1984828079999943
gcnn:il,4,test,data/instances/cauctions/test_100_500/instance_2.lp,57,164,1.03,0.0,optimal,1.2599442987702787,1.2596544240000043
gcnn:mdp,0,test,data/instances/cauctions/test_100_500/instance_2.lp,63,112,1.04,0.0,optimal,1.2341206739656627,1.233387792000002
gcnn:mdp,1,test,data/instances/cauctions/test_100_500/instance_2.lp,64,115,1.09,0.0,optimal,1.32166588306427,1.321353123999998
gcnn:mdp,2,test,data/instances/cauctions/test_100_500/instance_2.lp,85,201,1.14,0.0,optimal,1.4340253621339798,1.434054562
gcnn:mdp,3,test,data/instances/cauctions/test_100_500/instance_2.lp,181,246,1.36,0.0,optimal,1.7177155022509396,1.716727418000005
gcnn:mdp,4,test,data/instances/cauctions/test_100_500/instance_2.lp,73,125,1.05,0.0,optimal,1.2143289111554623,1.2137297539999992
gcnn:tmdp+DFS,0,test,data/instances/cauctions/test_100_500/instance_2.lp,64,125,1.05,0.0,optimal,1.2651448552496731,1.2645562800000079
gcnn:tmdp+DFS,1,test,data/instances/cauctions/test_100_500/instance_2.lp,84,152,1.2,0.0,optimal,1.436075275298208,1.4353246379999973
gcnn:tmdp+DFS,2,test,data/instances/cauctions/test_100_500/instance_2.lp,60,112,1.05,0.0,optimal,1.2482463070191443,1.248046876999993
gcnn:tmdp+DFS,3,test,data/instances/cauctions/test_100_500/instance_2.lp,73,138,1.02,0.0,optimal,1.2440201067365706,1.2437829190000116
gcnn:tmdp+DFS,4,test,data/instances/cauctions/test_100_500/instance_2.lp,58,124,0.97,0.0,optimal,1.1922112349420786,1.1919021780000065
gcnn:tmdp+ObjLim,0,test,data/instances/cauctions/test_100_500/instance_2.lp,63,123,1.02,0.0,optimal,1.2314443057402968,1.230850593999989
gcnn:tmdp+ObjLim,1,test,data/instances/cauctions/test_100_500/instance_2.lp,83,156,1.2,0.0,optimal,1.4392849309369922,1.4385600479999994
gcnn:tmdp+ObjLim,2,test,data/instances/cauctions/test_100_500/instance_2.lp,70,125,1.09,0.0,optimal,1.2922408450394869,1.29196795
