policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/indset/test_500_4/instance_1.lp,6,30,3.05,0.0,optimal,3.4658179769758135,3.4652912149999935
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/indset/test_500_4/instance_1.lp,1,17,2.13,0.0,optimal,2.364160988945514,2.3640419130000083
gcnn:iql_mdp_off,0,test,data/instances/indset/test_500_4/instance_1.lp,1,16,1.48,0.0,optimal,1.7464952301234007,1.7463748090000024
gcnn:iql_mdp_off,1,test,data/instances/indset/test_500_4/instance_1.lp,1,22,2.92,0.0,optimal,3.2018000870011747,3.201471051999988
gcnn:iql_mdp_off,2,test,data/instances/indset/test_500_4/instance_1.lp,12,38,2.64,0.0,optimal,3.016019932925701,3.0156333829999937
gcnn:iql_mdp_off,3,test,data/instances/indset/test_500_4/instance_1.lp,9,33,3.08,0.0,optimal,3.4544582080561668,3.4538919980000173
gcnn:iql_mdp_off,4,test,data/instances/indset/test_500_4/instance_1.lp,1,17,2.09,0.0,optimal,2.3407811911311,2.340675453000017
internal:relpscost,0,test,data/instances/indset/test_500_4/instance_2.lp,1001,1205,12.39,0.0,optimal,14.339456611080095,14.331902418999988
internal:relpscost,1,test,data/instances/indset/test_500_4/instance_2.lp,861,1161,14.0,0.0,optimal,15.938609176082537,15.934549938000004
internal:relpscost,2,test,data/instances/indset/test_500_4/instance_2.lp,797,887,10.95,0.0,optimal,12.406977081904188,12.403846639999983
internal:relpscost,3,test,data/instances/indset/test_500_4/instance_2.lp,1167,1431,13.49,0.0,optimal,15.767002861946821,15.762554376999987
internal:relpscost,4,test,data/instances/indset/test_500_4/instance_2.lp,1078,1315,13.0,0.0,optimal,15.144066501874477,15.139929779999989
gcnn:il,0,test,data/instances/indset/test_500_4/instance_2.lp,750,897,7.64,0.0,optimal,9.041402925970033,9.039408847999994
gcnn:il,1,test,data/instances/indset/test_500_4/instance_2.lp,622,902,7.18,0.0,optimal,8.661861480912194,8.661457899999988
gcnn:il,2,test,data/instances/indset/test_500_4/instance_2.lp,596,673,6.25,0.0,optimal,7.273617339786142,7.273678240999999
gcnn:il,3,test,data/instances/indset/test_500_4/instance_2.lp,1196,1332,9.68,0.0,optimal,11.41842485498637,11.418267713000006
gcnn:il,4,test,data/instances/indset/test_500_4/instance_2.lp,704,843,7.93,0.0,optimal,9.309104789979756,9.30886157400002
gcnn:mdp,0,test,data/instances/indset/test_500_4/instance_2.lp,1956,2103,11.01,0.0,optimal,13.570013648131862,13.57150038900005
gcnn:mdp,1,test,data/instances/indset/test_500_4/instance_2.lp,1162,1261,7.63,0.0,optimal,9.398288451135159,9.392331126999977
gcnn:mdp,2,test,data/instances/indset/test_500_4/instance_2.lp,1977,2067,9.33,0.0,optimal,11.771073370007798,11.773048564000021
gcnn:mdp,3,test,data/instances/indset/test_500_4/instance_2.lp,1269,1393,8.47,0.0,optimal,10.54851565300487,10.549213602999998
gcnn:mdp,4,test,data/instances/indset/test_500_4/instance_2.lp,2445,2597,12.86,0.0,optimal,15.989399325102568,15.97736280099997
gcnn:tmdp+DFS,0,test,data/instances/indset/test_500_4/instance_2.lp,1756,1875,10.24,0.0,optimal,12.618939249077812,12.620602841999983
gcnn:tmdp+DFS,1,test,data/instances/indset/test_500_4/instance_2.lp,1216,1318,7.91,0.0,optimal,9.676546214148402,9.677751801999989
gcnn:tmdp+DFS,2,test,data/instances/indset/test_500_4/instance_2.lp,2470,2567,11.1,0.0,optimal,13.931395245948806,13.934282429999996
gcnn:tmdp+DFS,3,test,data/instances/indset/test_500_4/instance_2.lp,1356,1517,8.87,0.0,optimal,10.9724772030022,10.974027210000031
gcnn:tmdp+DFS,4,test,data/instances/indset/test_500_4/instance_2.lp,2415,2596,12.99,0.0,optimal,16.158254853915423,16.161012512000013
gcnn:tmdp+ObjLim,0,test,data/instances/indset/test_500_4/instance_2.lp,1412,1498,8.97,0.0,optimal,11.007875818060711,11.008767910000017
gcnn:tmdp+ObjLim,1,test,data/instances/indset/test_500_4/instance_2.lp,1359,1503,8.41,0.0,optimal,10.565690093906596,10.567220124000016
gcnn:tmdp+ObjLim,2,test,data/instances/indset/test_500_4/instance_2.lp,1743,1820,8.94,0.0,optimal,11.09721522894688,11.089297007000027
gcnn:tmdp+ObjLim,3,test,data/instances/indset/test_500_4/instance_2.lp,1173,1323,8.03,0.0,optimal,9.893211951013654,9.89446897800002
gcnn:tmdp+ObjLim,4,test,data/instances/indset/test_500_4/instance_2.lp,1956,2100,11.38,0.0,optimal,13.825766997179016,13.816248013000006
gcnn:iql_retro_off,0,test,data/instances/indset/test_500_4/instance_2.lp,1085,1189,8.12,0.0,optimal,9.865384105825797,9.865511209000033
gcnn:iql_retro_off,1,test,data/instances/indset/test_500_4/instance_2.lp,1053,1151,7.28,0.0,optimal,8.969803625019267,8.970665660000009
gcnn:iql_retro_off,2,test,data/instances/indset/test_500_4/instance_2.lp,2294,2395,10.67,0.0,optimal,13.477049064822495,13.480132104999996
gcnn:iql_retro_off,3,test,data/instances/indset/test_500_4/instance_2.lp,5476,5657,19.4,0.0,optimal,24.989665888017043,24.99886708599996
gcnn:iql_retro_off,4,test,data/instances/indset/test_500_4/instance_2.lp,1333,1421,9.3,0.0,optimal,11.359482539119199,11.360619611000004
gcnn:iql_tmdp+DFS_off,0,test,data/instances/indset/test_500_4/instance_2.lp,12898,13084,37.28,0.0,optimal,48.31325994688086,48.33548178699999
gcnn:iql_tmdp+DFS_off,1,test,data/instances/indset/test_500_4/instance_2.lp,1107,1211,7.88,0.0,optimal,9.813039662782103,9.807022068000038
gcnn:iql_tmdp+DFS_off,2,test,data/instances/indset/test_500_4/instance_2.lp,993,1065,6.83,0.0,optimal,8.38316853204742,8.378247013000077
gcnn:iql_tmdp+DFS_off,3,test,data/instances/indset/test_500_4/instance_2.lp,1226,1387,8.54,0.0,optimal,10.208631015149876,10.20862182299993
gcnn:iql_tmdp+DFS_off,4,test,data/instances/indset/test_500_4/instance_2.lp,1374,1480,9.55,0.0,optimal,11.500785221811384,11.501825198000006
gcnn:iql_tmdp+ObjLim_off,0,test,data/instances/indset/test_500_4/instance_2.lp,22371,22604,66.5,0.0,optimal,86.06234604096971,86.09936605300004
gcnn:iql_tmdp+ObjLim_off,1,test,data/instances/indset/test_500_4/instance_2.lp,1457,1590,9.14,0.0,optimal,11.268969808937982,11.270465317999992
gcnn:iql_tmdp+ObjLim_off,2,test,data/instances/indset/test_500_4/instance_2.lp,1527,1627,8.61,0.0,optimal,10.673174809198827,10.674795343000028
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/indset/test_500_4/instance_2.lp,1044,1180,7.64,0.0,optimal,9.505139213055372,9.505828150999946
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/indset/test_500_4/instance_2.lp,2537,2674,13.24,0.0,optimal,16.224191973917186,16.227324824999982
gcnn:iql_mdp_off,0,test,data/instances/indset/test_500_4/instance_2.lp,6138,6300,20.05,0.0,optimal,25.885841543087736,25.89520393700002
gcnn:iql_mdp_off,1,test,data/instances/indset/test_500_4/instance_2.lp,1027,1094,7.3,0.0,optimal,9.052307565929368,9.052963122000051
gcnn:iql_mdp_off,2,test,data/instances/indset/test_500_4/instance_2.lp,682,788,5.97,0.0,optimal,7.2098601390607655,7.205992008000067
gcnn:iql_mdp_off,3,test,data/instances/indset/test_500_4/instance_2.lp,995,1131,7.58,0.0,optimal,9.316096022957936,9.316748764000067
gcnn:iql_mdp_off,4,test,data/instances/indset/test_500_4/instance_2.lp,1297,1478,9.55,0.0,optimal,11.442686595022678,11.444127900000012
internal:relpscost,0,test,data/instances/indset/test_500_4/instance_3.lp,2824,3699,21.86,0.0,optimal,26.236332457046956,26.225087788999986
internal:relpscost,1,test,data/instances/indset/test_500_4/instance_3.lp,2674,3074,20.27,0.0,optimal,24.115314856171608,24.111534376999998
internal:relpscost,2,test,data/instances/indset/test_500_4/instance_3.lp,4005,4420,23.88,0.0,optimal,28.82343332003802,28.81752518499991
internal:relpscost,3,test,data/instances/indset/test_500_4/instance_3.lp,3450,4155,26.1,0.0,optimal,31.081442137015983,31.07526299099993
internal:relpscost,4,test,data/instances/indset/test_500_4/instance_3.lp,3237,3567,21.99,0.0,optimal,25.73946419497952,25.734053070000073
gcnn:il,0,test,data/instances/indset/test_500_4/instance_3.lp,2600,3103,19.28,0.0,optimal,23.322773756925017,23.321956814000032
gcnn:il,1,test,data/instances/indset/test_500_4/instance_3.lp,2996,3115,18.21,0.0,optimal,21.64685674314387,21.632260539999947
gcnn:il,2,test,data/instances/indset/test_500_4/instance_3.lp,2234,2412,15.74,0.0,optimal,18.761009697103873,18.749217758999976
gcnn:il,3,test,data/instances/indset/test_500_4/instance_3.lp,2680,3257,21.07,0.0,optimal,25.50497522391379,25.50748477700006
