policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,959,740,1.06,0.0,optimal,2.4691618679789826,2.4589248250000004
internal:relpscost,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,378,1274,0.84,0.0,optimal,1.706329477019608,1.7058267610000009
internal:relpscost,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,461,645,0.63,0.0,optimal,1.708424907992594,1.7077953900000011
internal:relpscost,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,216,284,0.4,0.0,optimal,0.8533067660173401,0.8530060260000027
internal:relpscost,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,116,242,0.36,0.0,optimal,0.8705945559777319,0.8703636449999976
gcnn:il,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,784,738,1.68,0.0,optimal,2.8783720390638337,2.872797188
gcnn:il,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,834,696,1.58,0.0,optimal,2.655204743030481,2.651181875999999
gcnn:il,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,172,389,0.57,0.0,optimal,1.3009252368938178,1.299831785000002
gcnn:il,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,517,895,1.25,0.0,optimal,2.3549369890242815,2.352172088000003
gcnn:il,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,1871,1368,3.41,0.0,optimal,5.589826075010933,5.590877154999994
gcnn:mdp,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,202,209,0.6,0.0,optimal,0.9948535579023883,0.9937427150000033
gcnn:mdp,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,152,421,0.49,0.0,optimal,0.8099929069867358,0.809186062000002
gcnn:mdp,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,317,357,0.96,0.0,optimal,2.002414496964775,2.000587654999997
gcnn:mdp,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,257,302,0.73,0.0,optimal,1.2099160690559074,1.2104435460000005
gcnn:mdp,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,216,305,1.1,0.0,optimal,1.885257884976454,1.8828720879999992
gcnn:tmdp+DFS,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,418,372,1.0,0.0,optimal,1.5642294340068474,1.5624346950000003
gcnn:tmdp+DFS,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,281,2095,1.55,0.0,optimal,2.5629159880336374,2.560649129000005
gcnn:tmdp+DFS,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,133,233,0.55,0.0,optimal,1.1555417139315978,1.1546382410000007
gcnn:tmdp+DFS,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,46,147,0.36,0.0,optimal,0.671489019994624,0.6710653350000015
gcnn:tmdp+DFS,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,246,318,0.98,0.0,optimal,1.6602335459319875,1.6551995159999962
gcnn:tmdp+ObjLim,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,168,179,0.62,0.0,optimal,0.962784213013947,0.9613612810000021
gcnn:tmdp+ObjLim,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,201,425,0.62,0.0,optimal,1.0917556330095977,1.0907357079999969
gcnn:tmdp+ObjLim,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,311,542,0.74,0.0,optimal,1.5948004900710657,1.5933713999999952
gcnn:tmdp+ObjLim,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,101,192,0.51,0.0,optimal,0.8386055399896577,0.8379700159999999
gcnn:tmdp+ObjLim,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,129,242,0.54,0.0,optimal,1.0467844400554895,1.0468463790000015
gcnn:iql_tmdp+DFS,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,1291,1751,2.9,0.0,optimal,4.181824771920219,4.1716923170000015
gcnn:iql_tmdp+DFS,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,144,362,0.6,0.0,optimal,0.8639891250059009,0.8629781220000012
gcnn:iql_tmdp+DFS,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,176,279,0.63,0.0,optimal,1.3373325929278508,1.3362103259999998
gcnn:iql_tmdp+DFS,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,135,208,0.51,0.0,optimal,0.9340968659380451,0.9332488670000032
gcnn:iql_tmdp+DFS,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,186,261,0.63,0.0,optimal,1.2242075940594077,1.223039104999998
gcnn:iql_tmdp+ObjLim,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,359,454,0.96,0.0,optimal,1.662128556985408,1.6601654250000024
gcnn:iql_tmdp+ObjLim,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,198,239,0.56,0.0,optimal,0.8553401050157845,0.854029077000007
gcnn:iql_tmdp+ObjLim,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,111,270,0.94,0.0,optimal,1.8284495560219511,1.8262696110000007
gcnn:iql_tmdp+ObjLim,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,226,271,0.66,0.0,optimal,1.0930798980407417,1.0920016809999993
gcnn:iql_tmdp+ObjLim,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,168,256,0.55,0.0,optimal,1.1313459050143138,1.1304014629999983
gcnn:iql_mdp,0,test,data/instances/mknapsack/test_100_6/instance_1.lp,256,218,0.69,0.0,optimal,1.026792821008712,1.0255143409999903
gcnn:iql_mdp,1,test,data/instances/mknapsack/test_100_6/instance_1.lp,201,473,0.64,0.0,optimal,1.0617980000097305,1.060734740000001
gcnn:iql_mdp,2,test,data/instances/mknapsack/test_100_6/instance_1.lp,674,694,1.87,0.0,optimal,3.0091489939950407,3.0027744900000073
gcnn:iql_mdp,3,test,data/instances/mknapsack/test_100_6/instance_1.lp,1215,1079,2.18,0.0,optimal,3.5501804989762604,3.5454216430000116
gcnn:iql_mdp,4,test,data/instances/mknapsack/test_100_6/instance_1.lp,140,242,0.47,0.0,optimal,0.9788886869791895,0.9781452889999969
internal:relpscost,0,test,data/instances/mknapsack/test_100_6/instance_2.lp,1,179,0.28,0.0,optimal,0.9125760620227084,0.9043219899999997
internal:relpscost,1,test,data/instances/mknapsack/test_100_6/instance_2.lp,10890,9098,3.55,0.0,optimal,10.15656312694773,10.15259100499999
internal:relpscost,2,test,data/instances/mknapsack/test_100_6/instance_2.lp,53310,43840,23.77,0.0,optimal,56.476677582017146,56.45152130800001
