policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,0,test,data/instances/cauctions/test_100_500/instance_1.lp,3,50,0.82,0.0,optimal,0.964695320930332,0.9643332290000011
internal:relpscost,1,test,data/instances/cauctions/test_100_500/instance_1.lp,3,75,1.02,0.0,optimal,1.197513747960329,1.1969700890000006
internal:relpscost,2,test,data/instances/cauctions/test_100_500/instance_1.lp,9,76,1.35,0.0,optimal,1.600284273037687,1.5997675989999998
internal:relpscost,3,test,data/instances/cauctions/test_100_500/instance_1.lp,5,82,0.99,0.0,optimal,1.1567412628792226,1.1563366349999988
internal:relpscost,4,test,data/instances/cauctions/test_100_500/instance_1.lp,3,65,1.07,0.0,optimal,1.2131169820204377,1.2128516229999988
gcnn:il,0,test,data/instances/cauctions/test_100_500/instance_1.lp,43,83,0.71,0.0,optimal,0.8709585280157626,0.8705464820000017
gcnn:il,1,test,data/instances/cauctions/test_100_500/instance_1.lp,29,88,0.78,0.0,optimal,0.9121462539769709,0.9119085899999995
gcnn:il,2,test,data/instances/cauctions/test_100_500/instance_1.lp,39,109,0.86,0.0,optimal,1.043946836842224,1.043528521999999
gcnn:il,3,test,data/instances/cauctions/test_100_500/instance_1.lp,31,106,0.8,0.0,optimal,0.9650954147800803,0.9649039520000002
gcnn:il,4,test,data/instances/cauctions/test_100_500/instance_1.lp,35,76,0.72,0.0,optimal,0.8623665259219706,0.862027169000001
gcnn:mdp,0,test,data/instances/cauctions/test_100_500/instance_1.lp,53,119,0.73,0.0,optimal,0.9236852100584656,0.9232279139999982
gcnn:mdp,1,test,data/instances/cauctions/test_100_500/instance_1.lp,47,104,0.8,0.0,optimal,0.9504761269781739,0.950013835
gcnn:mdp,2,test,data/instances/cauctions/test_100_500/instance_1.lp,47,135,0.92,0.0,optimal,1.0836503081955016,1.0829853480000011
gcnn:mdp,3,test,data/instances/cauctions/test_100_500/instance_1.lp,65,140,0.88,0.0,optimal,1.0496572798583657,1.049007668999998
gcnn:mdp,4,test,data/instances/cauctions/test_100_500/instance_1.lp,53,94,0.75,0.0,optimal,0.9188022881280631,0.9183867269999979
gcnn:tmdp+DFS,0,test,data/instances/cauctions/test_100_500/instance_1.lp,51,95,0.72,0.0,optimal,0.8861741321161389,0.8860724749999989
gcnn:tmdp+DFS,1,test,data/instances/cauctions/test_100_500/instance_1.lp,45,101,0.81,0.0,optimal,0.954774416051805,0.9542700380000042
gcnn:tmdp+DFS,2,test,data/instances/cauctions/test_100_500/instance_1.lp,47,123,0.87,0.0,optimal,1.0657332150731236,1.0651084650000016
gcnn:tmdp+DFS,3,test,data/instances/cauctions/test_100_500/instance_1.lp,59,137,0.86,0.0,optimal,1.04720982699655,1.0466396750000015
gcnn:tmdp+DFS,4,test,data/instances/cauctions/test_100_500/instance_1.lp,53,94,0.76,0.0,optimal,0.928407731000334,0.927955101000002
gcnn:tmdp+ObjLim,0,test,data/instances/cauctions/test_100_500/instance_1.lp,53,101,0.76,0.0,optimal,0.8898283480666578,0.8894019359999987
gcnn:tmdp+ObjLim,1,test,data/instances/cauctions/test_100_500/instance_1.lp,45,101,0.77,0.0,optimal,0.9566817309241742,0.9561590429999995
gcnn:tmdp+ObjLim,2,test,data/instances/cauctions/test_100_500/instance_1.lp,45,122,0.88,0.0,optimal,1.0611650869250298,1.0605918160000058
gcnn:tmdp+ObjLim,3,test,data/instances/cauctions/test_100_500/instance_1.lp,63,133,0.85,0.0,optimal,1.038737742928788,1.0381154669999972
gcnn:tmdp+ObjLim,4,test,data/instances/cauctions/test_100_500/instance_1.lp,53,99,0.77,0.0,optimal,0.9359854401554912,0.9355047789999986
gcnn:iql_tmdp+DFS,0,test,data/instances/cauctions/test_100_500/instance_1.lp,53,101,0.74,0.0,optimal,0.8895354270935059,0.8890657009999998
gcnn:iql_tmdp+DFS,1,test,data/instances/cauctions/test_100_500/instance_1.lp,49,108,0.83,0.0,optimal,0.9722704780288041,0.972089853
gcnn:iql_tmdp+DFS,2,test,data/instances/cauctions/test_100_500/instance_1.lp,53,125,0.91,0.0,optimal,1.097606769995764,1.096991144999997
gcnn:iql_tmdp+DFS,3,test,data/instances/cauctions/test_100_500/instance_1.lp,57,131,0.85,0.0,optimal,1.0276035519782454,1.0270667640000042
gcnn:iql_tmdp+DFS,4,test,data/instances/cauctions/test_100_500/instance_1.lp,51,93,0.74,0.0,optimal,0.9335189231205732,0.9330455699999973
gcnn:iql_tmdp+ObjLim,0,test,data/instances/cauctions/test_100_500/instance_1.lp,53,105,0.75,0.0,optimal,0.9026955580338836,0.902522587
gcnn:iql_tmdp+ObjLim,1,test,data/instances/cauctions/test_100_500/instance_1.lp,39,94,0.76,0.0,optimal,0.93690369091928,0.9364405569999974
gcnn:iql_tmdp+ObjLim,2,test,data/instances/cauctions/test_100_500/instance_1.lp,47,103,0.88,0.0,optimal,1.0358590891119093,1.035285316999996
gcnn:iql_tmdp+ObjLim,3,test,data/instances/cauctions/test_100_500/instance_1.lp,65,137,0.86,0.0,optimal,1.064570324961096,1.063988725999998
gcnn:iql_tmdp+ObjLim,4,test,data/instances/cauctions/test_100_500/instance_1.lp,57,103,0.78,0.0,optimal,0.9471617529634386,0.9466330030000023
gcnn:iql_mdp,0,test,data/instances/cauctions/test_100_500/instance_1.lp,49,116,0.75,0.0,optimal,0.9212220199406147,0.9205623689999953
gcnn:iql_mdp,1,test,data/instances/cauctions/test_100_500/instance_1.lp,49,116,0.78,0.0,optimal,0.9713654939550906,0.9708134580000021
gcnn:iql_mdp,2,test,data/instances/cauctions/test_100_500/instance_1.lp,41,124,0.89,0.0,optimal,1.0739007180090994,1.0735990399999977
gcnn:iql_mdp,3,test,data/instances/cauctions/test_100_500/instance_1.lp,53,146,0.87,0.0,optimal,1.0419479438569397,1.0413642359999997
gcnn:iql_mdp,4,test,data/instances/cauctions/test_100_500/instance_1.lp,39,95,0.76,0.0,optimal,0.8945872480981052,0.8941440860000043
internal:relpscost,0,test,data/instances/cauctions/test_100_500/instance_2.lp,5,63,1.28,0.0,optimal,1.5059694671072066,1.5055788160000034
internal:relpscost,1,test,data/instances/cauctions/test_100_500/instance_2.lp,5,78,1.48,0.0,optimal,1.7598017652053386,1.7590547400000034
internal:relpscost,2,test,data/instances/cauctions/test_100_500/instance_2.lp,3,56,1.3,0.0,optimal,1.4642307229805738,1.463556294
internal:relpscost,3,test,data/instances/cauctions/test_100_500/instance_2.lp,3,106,1.66,0.0,optimal,1.980053192935884,1.9790638079999994
internal:relpscost,4,test,data/instances/cauctions/test_100_500/instance_2.lp,5,65,1.26,0.0,optimal,1.4928893488831818,1.4922528700000015
gcnn:il,0,test,data/instances/cauctions/test_100_500/instance_2.lp,59,151,1.06,0.0,optimal,1.2622714969329536,1.2615185730000036
gcnn:il,1,test,data/instances/cauctions/test_100_500/instance_2.lp,55,124,1.08,0.0,optimal,1.3161018791142851,1.3153318030000065
gcnn:il,2,test,data/instances/cauctions/test_100_500/instance_2.lp,45,154,1.09,0.0,optimal,1.2651298742275685,1.264698113999998
gcnn:il,3,test,data/instances/cauctions/test_100_500/instance_2.lp,49,117,0.98,0.0,optimal,1.198663430986926,1.198037591000002
gcnn:il,4,test,data/instances/cauctions/test_100_500/instance_2.lp,57,164,1.05,0.0,optimal,1.2529268579091877,1.252212746000012
gcnn:mdp,0,test,data/instances/cauctions/test_100_500/instance_2.lp,64,124,1.04,0.0,optimal,1.2544716999400407,1.2537420409999953
gcnn:mdp,1,test,data/instances/cauctions/test_100_500/instance_2.lp,87,152,1.26,0.0,optimal,1.432138878153637,1.4312474940000044
